Quarter,CommercialPrice,HouseholdPrice,TheYear,TheQuarter,TheDate
1989Q1,994,NA,1989,1,1989-01-01
1989Q2,998,NA,1989,2,1989-04-01
1989Q3,998,NA,1989,3,1989-07-01
1989Q4,999,NA,1989,4,1989-10-01
1990Q1,997,NA,1990,1,1990-01-01
1990Q2,993,NA,1990,2,1990-04-01
1990Q3,992,NA,1990,3,1990-07-01
1990Q4,997,734,1990,4,1990-10-01
1991Q1,1009,752,1991,1,1991-01-01
1991Q2,999,758,1991,2,1991-04-01
1991Q3,999,759,1991,3,1991-07-01
1991Q4,1008,772,1991,4,1991-10-01
1992Q1,993,790,1992,1,1992-01-01
1992Q2,992,791,1992,2,1992-04-01
1992Q3,986,797,1992,3,1992-07-01
1992Q4,976,802,1992,4,1992-10-01
1993Q1,972,807,1993,1,1993-01-01
1993Q2,958,840,1993,2,1993-04-01
1993Q3,960,860,1993,3,1993-07-01
1993Q4,965,867,1993,4,1993-10-01
1994Q1,953,879,1994,1,1994-01-01
1994Q2,959,897,1994,2,1994-04-01
1994Q3,959,906,1994,3,1994-07-01
1994Q4,958,908,1994,4,1994-10-01
1995Q1,951,909,1995,1,1995-01-01
1995Q2,961,929,1995,2,1995-04-01
1995Q3,975,953,1995,3,1995-07-01
1995Q4,979,954,1995,4,1995-10-01
1996Q1,981,965,1996,1,1996-01-01
1996Q2,994,986,1996,2,1996-04-01
1996Q3,997,996,1996,3,1996-07-01
1996Q4,1000,1000,1996,4,1996-10-01
1997Q1,1003,1010,1997,1,1997-01-01
1997Q2,1011,1032,1997,2,1997-04-01
1997Q3,1008,1040,1997,3,1997-07-01
1997Q4,1021,1037,1997,4,1997-10-01
1998Q1,1023,1055,1998,1,1998-01-01
1998Q2,1029,1064,1998,2,1998-04-01
1998Q3,1016,1070,1998,3,1998-07-01
1998Q4,994,1050,1998,4,1998-10-01
1999Q1,996,1047,1999,1,1999-01-01
1999Q2,985,1087,1999,2,1999-04-01
1999Q3,986,1100,1999,3,1999-07-01
1999Q4,961,1084,1999,4,1999-10-01
2000Q1,962,1088,2000,1,2000-01-01
2000Q2,953,1087,2000,2,2000-04-01
2000Q3,948,1090,2000,3,2000-07-01
2000Q4,934,1091,2000,4,2000-10-01
2001Q1,933,1095,2001,1,2001-01-01
2001Q2,965,1087,2001,2,2001-04-01
2001Q3,996,1087,2001,3,2001-07-01
2001Q4,1000,1084,2001,4,2001-10-01
2002Q1,1041,1115,2002,1,2002-01-01
2002Q2,1025,1136,2002,2,2002-04-01
2002Q3,1021,1153,2002,3,2002-07-01
2002Q4,1028,1166,2002,4,2002-10-01
2003Q1,1026,1169,2003,1,2003-01-01
2003Q2,1074,1190,2003,2,2003-04-01
2003Q3,1065,1228,2003,3,2003-07-01
2003Q4,1097,1275,2003,4,2003-10-01
2004Q1,1115,1278,2004,1,2004-01-01
2004Q2,1162,1314,2004,2,2004-04-01
2004Q3,1172,1332,2004,3,2004-07-01
2004Q4,1227,1387,2004,4,2004-10-01
2005Q1,1235,1402,2005,1,2005-01-01
2005Q2,1280,1421,2005,2,2005-04-01
2005Q3,1298,1436,2005,3,2005-07-01
2005Q4,1347,1444,2005,4,2005-10-01
2006Q1,1335,1466,2006,1,2006-01-01
2006Q2,1487,1509,2006,2,2006-04-01
2006Q3,1386,1531,2006,3,2006-07-01
2006Q4,1297,1545,2006,4,2006-10-01
2007Q1,1181,1566,2007,1,2007-01-01
2007Q2,1325,1613,2007,2,2007-04-01
2007Q3,1357,1626,2007,3,2007-07-01
2007Q4,1226,1647,2007,4,2007-10-01
2008Q1,1365,1660,2008,1,2008-01-01
2008Q2,1866,1721,2008,2,2008-04-01
2008Q3,1766,1738,2008,3,2008-07-01
2008Q4,1562,1773,2008,4,2008-10-01
2009Q1,1332,1783,2009,1,2009-01-01
2009Q2,1601,1813,2009,2,2009-04-01
2009Q3,1636,1817,2009,3,2009-07-01
2009Q4,1462,1812,2009,4,2009-10-01
2010Q1,1472,1813,2010,1,2010-01-01
2010Q2,1574,1832,2010,2,2010-04-01
2010Q3,1570,1883,2010,3,2010-07-01
2010Q4,1419,1915,2010,4,2010-10-01
2011Q1,1452,1923,2011,1,2011-01-01
2011Q2,1477,1976,2011,2,2011-04-01
2011Q3,1598,1970,2011,3,2011-07-01
2011Q4,1475,1961,2011,4,2011-10-01
2012Q1,1544,1962,2012,1,2012-01-01
2012Q2,1775,2049,2012,2,2012-04-01
2012Q3,1713,2058,2012,3,2012-07-01
2012Q4,1442,2061,2012,4,2012-10-01
2013Q1,1598,2064,2013,1,2013-01-01
2013Q2,1767,2119,2013,2,2013-04-01
2013Q3,1661,2131,2013,3,2013-07-01
2013Q4,1421,2124,2013,4,2013-10-01
2014Q1,1537,2125,2014,1,2014-01-01
2014Q2,1742,2214,2014,2,2014-04-01
2014Q3,1659,2209,2014,3,2014-07-01
2014Q4,1463,2199,2014,4,2014-10-01
2015Q1,1493,2200,2015,1,2015-01-01
2015Q2,1670,2214,2015,2,2015-04-01
2015Q3,1680,2213,2015,3,2015-07-01
2015Q4,1453,2208,2015,4,2015-10-01
2016Q1,1516,2213,2016,1,2016-01-01
2016Q2,1619,2252,2016,2,2016-04-01
2016Q3,1609,2262,2016,3,2016-07-01
2016Q4,1406,2258,2016,4,2016-10-01
2017Q1,1475,2260,2017,1,2017-01-01
2017Q2,1588,2293,2017,2,2017-04-01
2017Q3,1695,2299,2017,3,2017-07-01
2017Q4,1537,2302,2017,4,2017-10-01
2018Q1,1606,2321,2018,1,2018-01-01
2018Q2,1559,2359,2018,2,2018-04-01
2018Q3,1608,2356,2018,3,2018-07-01
2018Q4,1740,2351,2018,4,2018-10-01
2019Q1,1684,2382,2019,1,2019-01-01
2019Q2,1684,2391,2019,2,2019-04-01
2019Q3,1711,2386,2019,3,2019-07-01
2019Q4,1606,2383,2019,4,2019-10-01
2020Q1,1660,2414,2020,1,2020-01-01
